nombre_region;codigo_region;nombre_comuna;codigo_comuna;lista;pacto;nombres;primer_apellido;votos;genero
Antofagasta;2;San Pedro de Atacama;2203;G;VERDES LIBERALES POR UNA COMUNA SEGURA;SERGIO RODRIGO;HUAIQUIÑIR;226;masculino
Antofagasta;2;San Pedro de Atacama;2203;I;CHILE VAMOS RENOVACIÓN NACIONAL - INDEPENDIENTES;VILMA ARCADIA;CATUR;259;femenino
Antofagasta;2;San Pedro de Atacama;2203;T;TU COMUNA RADICAL;CAROLINA ANDREA;SOTO;481;femenino
Antofagasta;2;San Pedro de Atacama;2203;T;TU COMUNA RADICAL;CAROLINA RUTH;COLAMAR;211;femenino
Antofagasta;2;San Pedro de Atacama;2203;U;CHILE MUCHO MEJOR;WILLIAMS ANDRES;PUCA;437;masculino
Antofagasta;2;Sierra Gorda;2103;F;PARTIDO SOCIAL CRISTIANO E INDEPENDIENTES;RAMON LUIS;VEGA;163;masculino
Antofagasta;2;Sierra Gorda;2103;I;CHILE VAMOS RENOVACIÓN NACIONAL - INDEPENDIENTES;JENNY DEL CARMEN;LAGUNAS;109;femenino
Antofagasta;2;Sierra Gorda;2103;I;CHILE VAMOS RENOVACIÓN NACIONAL - INDEPENDIENTES;SALVADORA ERIKA;VERGARA;110;femenino
Antofagasta;2;Sierra Gorda;2103;U;CHILE MUCHO MEJOR;ANA;GATICA;137;femenino
Antofagasta;2;Sierra Gorda;2103;U;CHILE MUCHO MEJOR;OSVALDO;TORRES;134;masculino
Antofagasta;2;Sierra Gorda;2103;U;CHILE MUCHO MEJOR;RENE;RAMOS;103;masculino
Antofagasta;2;Taltal;2104;I;CHILE VAMOS RENOVACIÓN NACIONAL - INDEPENDIENTES;VALESKA;MONDACA;793;femenino
Antofagasta;2;Taltal;2104;T;TU COMUNA RADICAL;GUILLERMO MAURICIO;TABILO;260;masculino
Antofagasta;2;Taltal;2104;T;TU COMUNA RADICAL;SEGUNDO;LLANOS;980;masculino
Antofagasta;2;Taltal;2104;U;CHILE MUCHO MEJOR;LESLIE LEONELA;CHACC;439;femenino
Antofagasta;2;Taltal;2104;U;CHILE MUCHO MEJOR;CHRISTIAN;RAMIREZ;192;masculino
Antofagasta;2;Taltal;2104;U;CHILE MUCHO MEJOR;JOANNA;NUÑEZ;1051;femenino
Antofagasta;2;Tocopilla;2301;A;POR CHILE, SEGUIMOS;BASTIAN ALEXIS;PIZARRO;479;masculino
Antofagasta;2;Tocopilla;2301;F;PARTIDO SOCIAL CRISTIANO E INDEPENDIENTES;JOHN CRISTOFER;PORTILLA;1109;masculino
Antofagasta;2;Tocopilla;2301;G;VERDES LIBERALES POR UNA COMUNA SEGURA;RICARDO RODRIGO;ORTEGA;804;masculino
Antofagasta;2;Tocopilla;2301;G;VERDES LIBERALES POR UNA COMUNA SEGURA;DIEGO ARMANDO;RIVERA;1222;masculino
Antofagasta;2;Tocopilla;2301;I;CHILE VAMOS RENOVACIÓN NACIONAL - INDEPENDIENTES;MARIA EUGENIA;ULLOA;809;femenino
Antofagasta;2;Tocopilla;2301;U;CHILE MUCHO MEJOR;MARIA CRISTINA;OLIVARES;814;femenino
Atacama;3;Alto del Carmen;3302;A;POR CHILE, SEGUIMOS;HOMERO DARIO;CAMPILLAY;610;masculino
Atacama;3;Alto del Carmen;3302;A;POR CHILE, SEGUIMOS;BLADIMIR FERNANDO;BOLADOS;99;masculino
Atacama;3;Alto del Carmen;3302;I;CHILE VAMOS RENOVACIÓN NACIONAL - INDEPENDIENTES;JAVIERA ANDREA;ALVAREZ;362;masculino
Atacama;3;Alto del Carmen;3302;P;PARTIDO DE LA GENTE E INDEPENDIENTES;LUIS EDUARDO;PAREDES;264;masculino
Atacama;3;Alto del Carmen;3302;T;TU COMUNA RADICAL;PATRICIA ERIKA;ALVAREZ;230;femenino
Atacama;3;Alto del Carmen;3302;U;CHILE MUCHO MEJOR;CINTYA;IRIARTE;147;femenino
Atacama;3;Caldera;3102;B;IZQUIERDA ECOLOGISTA POPULAR;LISA BAITIARE;BARRIGA;374;femenino
Atacama;3;Caldera;3102;E;CHILE VAMOS UDI-EVOPOLI E INDEPENDIENTES;NATAN;PEREIRA;607;masculino
Atacama;3;Caldera;3102;I;CHILE VAMOS RENOVACIÓN NACIONAL - INDEPENDIENTES;JASON;GAETE;642;masculino
Atacama;3;Caldera;3102;T;TU COMUNA RADICAL;NATALIA;MUÑOZ;968;femenino
Atacama;3;Caldera;3102;U;CHILE MUCHO MEJOR;ZARKO DANILO;SEPULVEDA;900;masculino
Atacama;3;Caldera;3102;U;CHILE MUCHO MEJOR;NELIDA;RIVERA;292;femenino
Atacama;3;Chañaral;3201;A;POR CHILE, SEGUIMOS;SEBASTIAN ANDRES;GONZALEZ;745;masculino
Atacama;3;Chañaral;3201;E;CHILE VAMOS UDI-EVOPOLI E INDEPENDIENTES;JOHN;SILVA;677;masculino
Atacama;3;Chañaral;3201;G;VERDES LIBERALES POR UNA COMUNA SEGURA;JOICE LORENA;TABILO;604;femenino
Atacama;3;Chañaral;3201;I;CHILE VAMOS RENOVACIÓN NACIONAL - INDEPENDIENTES;LUIS ALFREDO;CAMPUSANO;451;masculino
Atacama;3;Chañaral;3201;T;TU COMUNA RADICAL;EDUARDO FRANCISCO ALEXIS;PAEZ;574;masculino
Atacama;3;Chañaral;3201;U;CHILE MUCHO MEJOR;EMA;ARNELLO;492;femenino
Atacama;3;Copiapó;3101;A;POR CHILE, SEGUIMOS;KENSSEL MIGUEL;ROJAS;4121;masculino
Atacama;3;Copiapó;3101;B;IZQUIERDA ECOLOGISTA POPULAR;JUAN PABLO;RICO;1683;masculino
Atacama;3;Copiapó;3101;E;CHILE VAMOS UDI-EVOPOLI E INDEPENDIENTES;PEDRO;BEDOYA;3932;masculino
Atacama;3;Copiapó;3101;F;PARTIDO SOCIAL CRISTIANO E INDEPENDIENTES;DEYSI MACKARENA;LOPEZ;1731;femenino
Atacama;3;Copiapó;3101;I;CHILE VAMOS RENOVACIÓN NACIONAL - INDEPENDIENTES;CAROLINA;DE LA CARRERA;4572;femenino
Atacama;3;Copiapó;3101;T;TU COMUNA RADICAL;RODRIGO ANTONIO;ROJAS;1631;masculino
Atacama;3;Copiapó;3101;U;CHILE MUCHO MEJOR;NILDA;GONZALEZ;2993;femenino
Atacama;3;Copiapó;3101;Y;REPUBLICANOS E INDEPENDIENTES;PATRICIA DEL CARMEN;HURTADO;4165;femenino
Atacama;3;Diego de Almagro;3202;A;POR CHILE, SEGUIMOS;MAURICIO JAVIER;RIVERA;435;masculino
Atacama;3;Diego de Almagro;3202;A;POR CHILE, SEGUIMOS;HUGO PATRICIO;RODRIGUEZ;685;masculino
