nombre_region;codigo_region;lista;pacto;partido;nombres;primer_apellido;votos;genero
Metropolitana de Santiago;13;C;TODAS Y TODOS POR CHILE;Partido Comunista de Chile;MARIA EUGENIA;PUELMA;40121;femenino
Metropolitana de Santiago;13;I;CHILE VAMOS RENOVACION NACIONAL - INDEPENDIENTES;Renovacion Nacional;FELIPE;OBAL;41930;masculino
Metropolitana de Santiago;13;I;CHILE VAMOS RENOVACION NACIONAL - INDEPENDIENTES;Renovacion Nacional;JOSE PABLO;SOTO;22440;masculino
Metropolitana de Santiago;13;I;CHILE VAMOS RENOVACION NACIONAL - INDEPENDIENTES;Renovacion Nacional;KARIN;LUCK;48225;femenino
Metropolitana de Santiago;13;I;CHILE VAMOS RENOVACION NACIONAL - INDEPENDIENTES;Renovacion Nacional;MARCELO;ZUNINO;35713;masculino
Metropolitana de Santiago;13;I;CHILE VAMOS RENOVACION NACIONAL - INDEPENDIENTES;Renovacion Nacional;NEBBIA;OTAROLA;17791;femenino
Metropolitana de Santiago;13;I;CHILE VAMOS RENOVACION NACIONAL - INDEPENDIENTES;Renovacion Nacional;VALERIA;PONTI;31586;femenino
Metropolitana de Santiago;13;N;LO MEJOR PARA CHILE;Partido Por la Democracia;CRISTINA ALEJANDRA;SOTO;11875;femenino
Metropolitana de Santiago;13;N;LO MEJOR PARA CHILE;Partido Socialista de Chile;CAROLINA;OTEIZA;30809;femenino
Metropolitana de Santiago;13;N;LO MEJOR PARA CHILE;Partido Socialista de Chile;DIOSCORO;ROJAS;24408;masculino
Metropolitana de Santiago;13;N;LO MEJOR PARA CHILE;Partido Socialista de Chile;MARICEL;DONOSO;18192;femenino
Metropolitana de Santiago;13;N;LO MEJOR PARA CHILE;Partido Socialista de Chile;SADI;MELO;20422;masculino
Metropolitana de Santiago;13;S;FRENTE AMPLIO;Frente Amplio;LESLIE SUSANA;VENEGAS;20175;femenino
Metropolitana de Santiago;13;S;FRENTE AMPLIO;Frente Amplio;NICOLAS EDUARDO;JARA;44450;masculino
Metropolitana de Santiago;13;S;FRENTE AMPLIO;Frente Amplio;XIMENA BEATRIZ MILAGROS;PERALTA;48375;femenino
Metropolitana de Santiago;13;V;CHILE VAMOS UDI - INDEPENDIENTES;Union Democrata Independiente;ALVARO;BELLOLIO;82097;masculino
Metropolitana de Santiago;13;V;CHILE VAMOS UDI - INDEPENDIENTES;Union Democrata Independiente;JAVIER;RAMIREZ;19738;masculino
Metropolitana de Santiago;13;V;CHILE VAMOS UDI - INDEPENDIENTES;Union Democrata Independiente;NICOLE;AGUILERA;11950;femenino
Metropolitana de Santiago;13;V;CHILE VAMOS UDI - INDEPENDIENTES;Union Democrata Independiente;PEDRO PABLO;HERREROS;10791;masculino
Metropolitana de Santiago;13;Y;REPUBLICANOS E INDEPENDIENTES;Independientes;SERGIO ANDRES;MORALES;32935;masculino
Metropolitana de Santiago;13;Y;REPUBLICANOS E INDEPENDIENTES;Partido Republicano de Chile;ALFREDO MAURICIO;VERGARA;57636;masculino
Metropolitana de Santiago;13;Y;REPUBLICANOS E INDEPENDIENTES;Partido Republicano de Chile;CARLOS;TELLERIA;16902;masculino
Metropolitana de Santiago;13;Y;REPUBLICANOS E INDEPENDIENTES;Partido Republicano de Chile;EDITH MYRIAM;AEDO;22333;femenino
Metropolitana de Santiago;13;Y;REPUBLICANOS E INDEPENDIENTES;Partido Republicano de Chile;FELIPE ANDRES;SEREY;35566;masculino
Metropolitana de Santiago;13;Y;REPUBLICANOS E INDEPENDIENTES;Partido Republicano de Chile;GABRIELA INES;GALLARDO;38909;femenino
Metropolitana de Santiago;13;Y;REPUBLICANOS E INDEPENDIENTES;Partido Republicano de Chile;IGNACIO;DULGER;60493;masculino
Metropolitana de Santiago;13;Y;REPUBLICANOS E INDEPENDIENTES;Partido Republicano de Chile;JAIME;GONZALEZ;25110;masculino
Metropolitana de Santiago;13;Y;REPUBLICANOS E INDEPENDIENTES;Partido Republicano de Chile;RODRIGO;DONOSO;42573;masculino
Metropolitana de Santiago;13;Y;REPUBLICANOS E INDEPENDIENTES;Partido Republicano de Chile;SONJA;DEL RIO;41077;femenino
Metropolitana de Santiago;13;Y;REPUBLICANOS E INDEPENDIENTES;Partido Republicano de Chile;VICTOR MANUEL;VALDES;23178;masculino
Libertador General Bernardo O'Higgins;6;I;CHILE VAMOS RENOVACION NACIONAL - INDEPENDIENTES;Renovacion Nacional;GERARDO;CONTRERAS;10909;masculino
Libertador General Bernardo O'Higgins;6;I;CHILE VAMOS RENOVACION NACIONAL - INDEPENDIENTES;Renovacion Nacional;LUCIA;MUÑOZ;6870;femenino
Libertador General Bernardo O'Higgins;6;M;REGIONES VERDES LIBERALES;Independientes;ALEJANDRO;DIAZ;3690;masculino
Libertador General Bernardo O'Higgins;6;N;LO MEJOR PARA CHILE;Independientes;ALEX;RAMIREZ;8223;masculino
Libertador General Bernardo O'Higgins;6;N;LO MEJOR PARA CHILE;Partido Socialista de Chile;JACQUELINE ANDREA;JORQUERA;9300;femenino
Libertador General Bernardo O'Higgins;6;N;LO MEJOR PARA CHILE;Partido Socialista de Chile;MARIA MARGARITA;HENRIQUEZ;9493;femenino
Libertador General Bernardo O'Higgins;6;N;LO MEJOR PARA CHILE;Partido Socialista de Chile;MAURICIO;VALDERRAMA;4204;masculino
Libertador General Bernardo O'Higgins;6;Q;POR UN CHILE MEJOR;Partido Democrata Cristiano;MIGUEL ANGEL;RIVEROS;4774;masculino
Libertador General Bernardo O'Higgins;6;R;CENTRO DEMOCRATICO;Partido Democratas Chile;ROSA DEL CARMEN;ZACCONI;7999;femenino
Libertador General Bernardo O'Higgins;6;S;FRENTE AMPLIO;Frente Amplio;GERMAN ALBERTO;ARENAS;6294;masculino
Libertador General Bernardo O'Higgins;6;V;CHILE VAMOS UDI - INDEPENDIENTES;Independientes;DEYSI;NAVARRO;8057;femenino
Libertador General Bernardo O'Higgins;6;V;CHILE VAMOS UDI - INDEPENDIENTES;Union Democrata Independiente;JORGE;VARGAS;12227;masculino
Libertador General Bernardo O'Higgins;6;V;CHILE VAMOS UDI - INDEPENDIENTES;Union Democrata Independiente;JOSE IGNACIO;GONZALEZ;5802;masculino
Libertador General Bernardo O'Higgins;6;V;CHILE VAMOS UDI - INDEPENDIENTES;Union Democrata Independiente;PEDRO;HERNANDEZ;6827;masculino
Libertador General Bernardo O'Higgins;6;V;CHILE VAMOS UDI - INDEPENDIENTES;Union Democrata Independiente;SEBASTIAN;ROCHA;6749;masculino
Libertador General Bernardo O'Higgins;6;Y;REPUBLICANOS E INDEPENDIENTES;Independientes;RICHARD ALEXIS;TORRES;8353;masculino
Libertador General Bernardo O'Higgins;6;Y;REPUBLICANOS E INDEPENDIENTES;Partido Republicano de Chile;EDGARDO FABIAN;VARGAS;8567;masculino
Libertador General Bernardo O'Higgins;6;Y;REPUBLICANOS E INDEPENDIENTES;Partido Republicano de Chile;JUAN CARLOS;MACKAY;14012;masculino
Libertador General Bernardo O'Higgins;6;Y;REPUBLICANOS E INDEPENDIENTES;Partido Republicano de Chile;MANUEL ANTONIO;MORALES;6121;masculino
Libertador General Bernardo O'Higgins;6;Y;REPUBLICANOS E INDEPENDIENTES;Partido Republicano de Chile;PEDRO JOSE;BUSTAMANTE;15850;masculino
Maule;7;I;CHILE VAMOS RENOVACION NACIONAL - INDEPENDIENTES;Renovacion Nacional;CECILIA;PARHAM;12365;femenino
Maule;7;I;CHILE VAMOS RENOVACION NACIONAL - INDEPENDIENTES;Renovacion Nacional;FRANCISCO;DURAN;12503;masculino
Maule;7;I;CHILE VAMOS RENOVACION NACIONAL - INDEPENDIENTES;Renovacion Nacional;GABY;FUENTES;5204;masculino
Maule;7;I;CHILE VAMOS RENOVACION NACIONAL - INDEPENDIENTES;Renovacion Nacional;GONZALO;MONTERO;12110;masculino
Maule;7;I;CHILE VAMOS RENOVACION NACIONAL - INDEPENDIENTES;Renovacion Nacional;JUAN ANDRES;MUÑOZ;20340;masculino
Maule;7;I;CHILE VAMOS RENOVACION NACIONAL - INDEPENDIENTES;Renovacion Nacional;PAOLA;GUAJARDO;10834;femenino
Maule;7;L;TU REGION RADICAL;Independientes;ROMAN;PAVEZ;9420;masculino
Maule;7;L;TU REGION RADICAL;Partido Radical de Chile;SILVIO JAVIER;DEL RIO;13442;masculino
Maule;7;N;LO MEJOR PARA CHILE;Independientes;PABLO EDUARDO;GUTIERREZ;9072;masculino
Maule;7;N;LO MEJOR PARA CHILE;Partido Socialista de Chile;SERGIO PATRICIO;AGUILO;7105;masculino
Maule;7;Q;POR UN CHILE MEJOR;Partido Democrata Cristiano;PATRICIO;DOMINGUEZ;8218;masculino
Maule;7;Q;POR UN CHILE MEJOR;Partido Democrata Cristiano;ROBERTO;GARCIA;8192;masculino
Maule;7;S;FRENTE AMPLIO;Frente Amplio;IGOR FERNANDO;VILLARREAL;6950;masculino
Maule;7;V;CHILE VAMOS UDI - INDEPENDIENTES;Independientes;ISMAEL;FUENTES;17263;masculino
Maule;7;V;CHILE VAMOS UDI - INDEPENDIENTES;Union Democrata Independiente;ALAMIRO;GARRIDO;9105;masculino
Maule;7;V;CHILE VAMOS UDI - INDEPENDIENTES;Union Democrata Independiente;MIRTHA;SEGURA;13375;femenino
Maule;7;V;CHILE VAMOS UDI - INDEPENDIENTES;Union Democrata Independiente;RAPHAEL;ZUÑIGA;5376;masculino
Maule;7;Y;REPUBLICANOS E INDEPENDIENTES;Partido Republicano de Chile;DOMINIQUE;SCHLACK;7414;femenino
Maule;7;Y;REPUBLICANOS E INDEPENDIENTES;Partido Republicano de Chile;FRANCISCO JOSE;RUIZ;5152;masculino
Maule;7;Y;REPUBLICANOS E INDEPENDIENTES;Partido Republicano de Chile;ROSANNA;GARCIA;8098;femenino
Ñuble;16;F;PARTIDO SOCIAL CRISTIANO E INDEPENDIENTES;Partido Social Cristiano;GERALDINE;ARAVENA;3019;femenino
Ñuble;16;I;CHILE VAMOS RENOVACION NACIONAL - INDEPENDIENTES;Independientes;SERGIO;RUIZ;5612;masculino
Ñuble;16;I;CHILE VAMOS RENOVACION NACIONAL - INDEPENDIENTES;Renovacion Nacional;BARBARA;HENNIG;4936;femenino
Ñuble;16;I;CHILE VAMOS RENOVACION NACIONAL - INDEPENDIENTES;Renovacion Nacional;DALIBOR;FRANULIC;2914;masculino
Ñuble;16;L;TU REGION RADICAL;Independientes;ARNOLDO MANUEL;JIMENEZ;7538;masculino
Ñuble;16;L;TU REGION RADICAL;Independientes;WILSON MARCELO;PONCE;4252;masculino
Ñuble;16;N;LO MEJOR PARA CHILE;Partido Socialista de Chile;DANIELA;GUZMAN;6187;femenino
Ñuble;16;N;LO MEJOR PARA CHILE;Partido Socialista de Chile;MARCELO;CIFUENTES;4588;masculino
Ñuble;16;N;LO MEJOR PARA CHILE;Partido Socialista de Chile;PABLO;JIMENEZ;3896;masculino
Ñuble;16;Q;POR UN CHILE MEJOR;Independientes;ITER ALEJANDRO;STUARDO;5544;masculino
Ñuble;16;Q;POR UN CHILE MEJOR;Independientes;MARIO ALEXIS;URRA;7428;masculino
Ñuble;16;V;CHILE VAMOS UDI - INDEPENDIENTES;Union Democrata Independiente;CARLOS;CHANDIA;5983;masculino
Ñuble;16;V;CHILE VAMOS UDI - INDEPENDIENTES;Union Democrata Independiente;CARLOS HUMBERTO;GARRIDO;2928;masculino
Ñuble;16;V;CHILE VAMOS UDI - INDEPENDIENTES;Union Democrata Independiente;LORENA;JARDUA;8827;femenino
Ñuble;16;Y;REPUBLICANOS E INDEPENDIENTES;Partido Republicano de Chile;CHRISTOPHER;CASANOVA;4144;masculino
Ñuble;16;Y;REPUBLICANOS E INDEPENDIENTES;Partido Republicano de Chile;MARIA ELENA;ACUÑA;8663;femenino
Biobío;8;C;TODAS Y TODOS POR CHILE;Partido Comunista de Chile;LEONIDAS;PEÑA;16657;masculino
Biobío;8;C;TODAS Y TODOS POR CHILE;Partido Comunista de Chile;TAMARA ANGELICA;CONCHA;8987;femenino
Biobío;8;F;PARTIDO SOCIAL CRISTIANO E INDEPENDIENTES;Partido Social Cristiano;ANDRES;ARROYO;3702;masculino
Biobío;8;F;PARTIDO SOCIAL CRISTIANO E INDEPENDIENTES;Partido Social Cristiano;PEDRO;SEGUEL;7677;masculino
Biobío;8;F;PARTIDO SOCIAL CRISTIANO E INDEPENDIENTES;Partido Social Cristiano;YANINA;CONTRERAS;12727;femenino
Biobío;8;I;CHILE VAMOS RENOVACION NACIONAL - INDEPENDIENTES;Renovacion Nacional;ANSELMO;PEÑA;11260;masculino
